Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
SKYWORTH GROUP LIMITED,5.660HKD,1.36B,20.68%,TV & Video
SLING GROUP HOLDINGS LIMITED,0.0440HKD,3.14M,18.92%,Other Apparel & Accessories
SMART CITY DEVELOPMENT HOLDINGS LIMITED,0.2650HKD,9.74M,-33.75%,Building Contractors
SMART DIGITAL TECHNOLOGY GROUP LIMITED,2.200HKD,39.82M,13.99%,Other Holding Companies
SMART FISH WEALTHLINK HOLDINGS LIMITED,0.1190HKD,18.65M,-12.50%,Brokerage Services
SMART GLOBE HOLDINGS LIMITED,1.760HKD,229M,-2.22%,Other Commercial Printing Services
SMART-CORE HOLDINGS LIMITED,5.110HKD,298M,143.33%,Semiconductor Wholesale
SMARTONE TELECOMMUNICATIONS HOLDINGS LIMITED,4.750HKD,667M,1.06%,Other Wireless Telecommunications Services
SMC ELECTRIC LIMITED,0.2400HKD,61.24M,48.15%,Other Industrial Machinery & Equipment
SMI HOLDINGS GROUP LIMITED,-HKD,818M,-,Movie Theaters & Movie Products
SMIC (SEMICONDUCTOR MANUFACTURING INTERNATIONAL COMPANY),81.60HKD,104B,14.21%,Integrated Circuits
SMIT HOLDINGS LIMITED,1.800HKD,74.63M,116.87%,Security & Surveillance
SMOORE INTERNATIONAL HOLDINGS LIMITED,9.100HKD,7.19B,-23.59%,Other Tobacco
SNACK EMPIRE HOLDINGS LIMITED,0.2240HKD,22.86M,105.50%,Other Restaurants & Bars
SOCAM DEVELOPMENT LIMITED,0.3150HKD,15.01M,-4.55%,Other Construction & Engineering
SOFT INTERNATIONAL GROUP LTD.,0.9800HKD,125M,0.00%,Sanitary Products
SOFTCARE LIMITED,27.80HKD,2.2B,-14.04%,Sanitary Products
SOFTMEDX HEALTHCARE LIMITED,21.58HKD,295M,480.11%,Other Leisure & Recreation
SOHO CHINA LIMITED,0.4200HKD,279M,-19.23%,Office Real Estate Development
"SOHO HOLLY FUTURES CO., LTD.",2.390HKD,1.01B,-26.23%,Brokerage Services
SOLARGIGA ENERGY HOLDINGS LIMITED,0.0660HKD,27.99M,-15.38%,Other Renewable Energy Equipment & Services
SOLARTECH INTERNATIONAL HOLDINGS LIMITED,0.2140HKD,3.89M,-73.25%,Wires & Cables
SOLIS HOLDINGS LIMITED,0.2900HKD,33.88M,98.63%,Building Contractors
SOLOMON SYSTECH (INTERNATIONAL) LIMITED,0.4000HKD,127M,-5.88%,Integrated Circuits
SOMERLEY CAPITAL HOLDINGS LIMITED,1.640HKD,30.65M,396.97%,Other Investment Management & Fund Operators
SOUNDWILL HOLDINGS LIMITED,6.850HKD,248M,8.90%,Other Real Estate Development & Operations
SOUTH CHINA FINANCIAL HOLDINGS LIMITED,0.3950HKD,15.18M,0.00%,Other Investment Banking & Brokerage Services
SOUTH CHINA HOLDINGS COMPANY LIMITED,0.0280HKD,46.38M,-15.15%,Other Toys & Juvenile Products
SOUTH CHINA VOCATIONAL EDUCATION GROUP COMPANY LIMITED,0.1580HKD,26.89M,-45.52%,Colleges & Secondary Schools
SOUTH MANGANESE INVESTMENT LIMITED,0.5200HKD,328M,-5.45%,Other Specialty Mining & Metals
SOUTHEAST ASIA PROPERTIES & FINANCE LIMITED,1.600HKD,46.02M,0.00%,Plastic Containers & Packaging
SPACE GROUP HOLDINGS LIMITED,0.0900HKD,3.33M,-.--%,Civil Engineers & Architects
SPEEDY GLOBAL HOLDINGS LIMITED,0.2100HKD,16.08M,16.67%,Other Apparel & Accessories
SPRING REAL ESTATE INVESTMENT TRUST,1.250HKD,236M,-26.04%,Other Commercial REITs
SPT ENERGY GROUP INC.,0.2450HKD,61.09M,36.11%,Oil Related Services
SSY GROUP LIMITED,2.330HKD,860M,-17.67%,Other Pharmaceuticals
STANDARD DEVELOPMENT GROUP LIMITED,0.2100HKD,40.03M,-19.23%,Other Construction & Engineering
STAR CM HOLDINGS LIMITED,0.9200HKD,46.78M,-8.91%,Other Entertainment Production
STAR GROUP ASIA LIMITED,0.1230HKD,10.07M,1.65%,Other Construction & Engineering
STAR PLUS LEGEND HOLDINGS LIMITED,5.590HKD,679M,-6.52%,Other Food Retail & Distribution
STAR SHINE HOLDINGS GROUP LIMITED,13.84HKD,2.22B,84.78%,Fabric Dyeing & Finishing
"STAR SPORTS MEDICINE CO., LTD.",197.70HKD,1.38B,-,Medical Devices & Implants
STARCOIN GROUP LIMITED,0.0730HKD,30.52M,-14.12%,Industrial Machinery & Equipment Wholesale
STARGLORY HOLDINGS COMPANY LIMITED,0.1710HKD,12.11M,-41.03%,Other Restaurants & Bars
STARJOY WELLNESS AND TRAVEL COMPANY LIMITED,0.2900HKD,26.87M,-33.33%,Other Real Estate Services
STARLITE HOLDINGS LIMITED,0.1630HKD,10.41M,5.84%,Other Paper Packaging
STATE EN ASSETS,1.030HKD,146M,98.08%,Commercial Aircraft Manufacturing
STEED ORIENTAL (HOLDINGS) COMPANY LIMITED,0.1100HKD,3.68M,0.00%,Wood Products
STELLA INTERNATIONAL HOLDINGS LIMITED,13.21HKD,1.42B,-11.70%,Women's Footwear
STELUX HOLDINGS INTERNATIONAL LIMITED,0.0600HKD,7.94M,-14.29%,Jewelry & Watch Retailers
STERLING GROUP HOLDINGS LIMITED,0.7000HKD,3.7M,-47.37%,Copyright Management
STEVE LEUNG DESIGN GROUP LIMITED,0.7000HKD,102M,-12.50%,Interior Design Services
STRAWBEAR ENTERTAINMENT GROUP,0.3300HKD,29.73M,-28.26%,"Movie, TV Production & Distribution"
STREAM IDEAS GROUP LIMITED,0.0390HKD,3.37M,-61.76%,Advertising Agency
STRONG PETROCHEMICAL HOLDINGS LIMITED,0.1660HKD,44.97M,-.--%,Petroleum Product Wholesale
STYLAND HOLDINGS LIMITED,0.2500HKD,23.38M,-12.28%,Retail & Mortgage Banks
SUCCESS DRAGON INTERNATIONAL HOLDINGS LIMITED,0.8000HKD,34.79M,25.00%,Gold Refining
SUCCESS UNIVERSE GROUP LIMITED,0.0440HKD,27.66M,-12.00%,Travel Agents
SUGA INTERNATIONAL HOLDINGS LIMITED,1.050HKD,38.15M,-2.78%,Other Electronic Equipment & Parts
SUMMI (GROUP) HOLDINGS LIMITED,0.7900HKD,34.33M,105.19%,Fruit Drinks
SUN ART RETAIL GROUP LIMITED,1.520HKD,1.85B,-12.14%,Supermarkets & Convenience Stores
SUN HING PRINTING HOLDINGS LIMITED,0.4100HKD,25.11M,12.33%,Other Commercial Printing Services
SUN HING VISION GROUP HOLDINGS LIMITED,0.3100HKD,10.39M,-11.43%,"Glasses, Spectacles & Contact Lenses"
SUN HUNG KAI & CO. LIMITED,4.070HKD,1.02B,1.75%,Other Consumer Lending
SUN HUNG KAI PROPERTIES LIMITED,131.70HKD,48.7B,39.07%,Other Real Estate Development & Operations
SUN KONG HOLDINGS LIMITED,0.4700HKD,2.88M,-14.55%,Petroleum Product Wholesale
SUN.KING TECHNOLOGY GROUP LIMITED,2.800HKD,571M,45.83%,Electrical Component
SUNAC CHINA HOLDINGS LIMITED,0.9500HKD,2.02B,-27.48%,Other Real Estate Development & Operations
SUNAC SERVICES HOLDINGS LIMITED,0.9600HKD,371M,-31.43%,Other Real Estate Services
SUNCORP TECHNOLOGIES LIMITED,0.0780HKD,15.31M,-14.29%,E-commerce & Auction Services
SUNDART HOLDINGS LIMITED,0.6800HKD,189M,-8.11%,Residential Architectural & Interior Design Services
SUNDY SERVICE GROUP CO. LTD,0.0500HKD,24.5M,-25.37%,Other Real Estate Services
SUNEVISION HOLDINGS LTD.,6.000HKD,3.13B,30.43%,Other IT Services & Consulting
SUNFONDA GROUP HOLDINGS LIMITED,0.1680HKD,12.86M,-34.12%,"Other Auto Vehicles, Parts & Service Retailers"
"SUNHO BIOLOGICS, INC.",6.390HKD,124M,-3.77%,Other Biotechnology & Medical Research
SUNLIGHT (1977) HOLDINGS LIMITED,0.0650HKD,6.63M,6.56%,Paper Packaging Wholesale
SUNLIGHT REAL ESTATE INVESTMENT TRUST,2.300HKD,516M,-2.13%,Other Commercial REITs
SUNNY OPTICAL TECHNOLOGY (GROUP) COMPANY LIMITED,83.80HKD,11.49B,27.84%,Other Electrical Components & Equipment
SUNRAY ENGINEERING GROUP LIMITED,0.0570HKD,7.27M,14.00%,Construction Supplies & Fixtures Wholesale
SUNSHINE 100 CHINA HOLDINGS LTD,0.0100HKD,3.25M,0.00%,Other Real Estate Development & Operations
SUNSHINE INSURANCE GROUP COMPANY LIMITED,3.540CNY,5.19B,-8.76%,Other Life & Health Insurance
"SUNSHINE LAKE PHARMA CO., LTD.",36.50HKD,2.68B,-19.96%,Generic Pharmaceuticals
SUNSHINE OILSANDS LTD.,0.3000HKD,27.23M,-30.23%,Other Oil & Gas Exploration and Production
SUNWAH KINGSWAY CAPITAL HOLDINGS LIMITED,0.2450HKD,23.9M,-3.92%,Other Investment Banking & Brokerage Services
SUNWAY INTERNATIONAL HOLDINGS LIMITED,0.2500HKD,16.44M,21.95%,Cement & Concrete Manufacturing
SUPER HI INTERNATIONAL HOLDING LTD.,10.26HKD,851M,-19.34%,Quick Service Restaurants
SUPER STRONG HOLDINGS LIMITED,0.0420HKD,4.95M,-12.50%,Building Contractors
SUPERACTIVE GROUP COMPANY LIMITED,0.0130HKD,3.37M,-.--%,Other Electronic Equipment & Parts
SUPERLAND GROUP HOLDINGS LIMITED,0.9600HKD,97.99M,123.26%,Other Construction & Engineering
SUPERROBOTICS HOLDINGS LIMITED,0.0220HKD,2.01M,-72.50%,Advanced Electronic Equipment
"SUXIN JOYFUL LIFE SERVICES CO., LTD.",4.750CNY,61.24M,-16.67%,Other Real Estate Services
SUZHOU BASECARE MEDICAL CORPORATION LIMITED,1.410HKD,49.21M,-24.19%,Medical & Diagnostic Laboratories
"SUZHOU RIBO LIFE SCIENCE CO., LTD.",58.20HKD,1.27B,-,Bio Therapeutic Drugs
SV VISION LIMITED,0.0540HKD,3.31M,-3.57%,Other Advertising & Marketing
SWANG CHAI CHUAN LIMITED,0.5000HKD,63.81M,21.95%,Supermarkets & Convenience Stores
SWIRE PACIFIC LIMITED,81.60HKD,12.85B,30.14%,Other Non-Alcoholic Beverages
SWIRE PROPERTIES LIMITED,22.24HKD,16.34B,6.01%,Other Real Estate Development & Operations
SY HOLDINGS GROUP LIMITED,8.860HKD,1.2B,-18.49%,Other Corporate Financial Services
SYMPHONY HOLDINGS LIMITED,1.370HKD,520M,-11.04%,Other Apparel & Accessories Retailers
SYNAGISTICS LIMITED,1.880HKD,110M,6.82%,Other IT Services & Consulting
T.S. LINES LIMITED,8.380HKD,1.78B,1.21%,Other Marine Freight & Logistics
TA YANG GROUP HOLDINGS LIMITED,0.5800HKD,12.73M,-29.27%,Other Advertising & Marketing
TAI CHEUNG HOLDINGS LIMITED,3.680HKD,290M,5.44%,Other Real Estate Development & Operations
TAI HING GROUP HOLDINGS LIMITED,1.050HKD,130M,-4.55%,Other Restaurants & Bars
TAI KAM HOLDINGS LIMITED,2.000HKD,137M,100.00%,Building Contractors
TAI PING CARPETS INTERNATIONAL LIMITED,1.440HKD,38.99M,-22.16%,Carpets & Curtains
TAI SANG LAND DEVELOPMENT LIMITED,2.120HKD,77.81M,-3.64%,Other Real Estate Development & Operations
TAI UNITED HOLDINGS LIMITED,0.0320HKD,21.44M,0.00%,Other Real Estate Development & Operations
TAILAM TECH CONSTRUCTION HOLDINGS LIMITED,0.3000HKD,15.31M,9.09%,Cement & Concrete Manufacturing
"TAIZHOU WATER GROUP CO., LTD.",0.9300HKD,23.73M,-18.42%,Water Supply & Irrigation Systems
TAK LEE MACHINERY HOLDINGS LIMITED,0.2950HKD,37.64M,9.26%,Industrial Machinery & Equipment Wholesale
TAKBO GROUP HOLDINGS LIMITED,0.3200HKD,16.33M,54.59%,Cosmetics & Perfumes
TALENT PROPERTY GROUP LIMITED,0.1750HKD,11.49M,9.38%,Other Real Estate Development & Operations
TAN CHONG INTERNATIONAL LIMITED,1.640HKD,421M,-15.03%,Other Ground Freight & Logistics
TANG PALACE (CHINA) HOLDINGS LIMITED,0.1100HKD,15.1M,-47.62%,Other Restaurants & Bars
TANWAN INC.,13.80HKD,918M,-20.00%,Mobile Application Software
TAO HEUNG HOLDINGS LIMITED,0.2650HKD,34.3M,-17.19%,Other Restaurants & Bars
TASTE GOURMET GROUP LIMITED,1.850HKD,90.13M,-10.63%,Quick Service Restaurants
TASTY CONCEPTS HOLDING LIMITED,0.1660HKD,4.08M,25.76%,Quick Service Restaurants
"TAT HONG EQUIPMENT SERVICE CO., LTD.",0.8800HKD,131M,-8.33%,Other Construction & Engineering
TATA HEALTH INTERNATIONAL HOLDINGS LIMITED,2.200HKD,68.17M,69.23%,Footwear Retailers
TAUNG GOLD INTERNATIONAL LIMITED,0.6600HKD,153M,40.43%,Gold Mining
TBK & SONS HOLDINGS LIMITED,0.4000HKD,51.04M,50.94%,Other Construction & Engineering
TCL ELECTRONICS HOLDINGS LIMITED,13.84HKD,4.45B,33.33%,TV & Video
TEAMWAY INTERNATIONAL GROUP HOLDINGS LIMITED,0.4950HKD,27.41M,-23.85%,Other Non-Paper Containers & Packaging
TECHNOVATOR INTERNATIONAL LIMITED,0.1950HKD,19.46M,-45.07%,Other IT Services & Consulting
TECHTRONIC INDUSTRIES COMPANY LIMITED,116.30HKD,27.15B,29.37%,Other Industrial Machinery & Equipment
TELECOM DIGITAL HOLDINGS LIMITED,0.6400HKD,32.97M,-8.57%,Mobile Phone Retailers
TELECOM SERVICE ONE HOLDINGS LIMITED,2.790HKD,45.69M,267.11%,Consumer Repair Services
TELEVISION BROADCASTS LIMITED,2.530HKD,151M,-17.32%,Television Broadcasting
TEN PAO GROUP HOLDINGS LIMITED,2.780HKD,365M,29.30%,Other Electrical Components & Equipment
TENCENT HOLDINGS LIMITED,427.20HKD,491B,-28.68%,Other Internet Services
TENFU (CAYMAN) HOLDINGS COMPANY LIMITED,2.850HKD,394M,6.74%,Coffee & Tea
TENNOR THERAPEUTICS (SUZHOU) LIMITED,203.60HKD,1.34B,-,Bio Therapeutic Drugs
TERN PROPERTIES COMPANY LIMITED,1.550HKD,54.83M,5.44%,Other Real Estate Development & Operations
TESSON HOLDINGS LIMITED,2.010HKD,94.81M,53.44%,Automotive Batteries
TEXHONG INTERNATIONAL GROUP LIMITED,6.310HKD,738M,37.17%,Yarn Goods
TEXWINCA HOLDINGS LIMITED,1.080HKD,190M,8.00%,Other Textiles & Leather Goods
THAC GROUP (HOLDINGS) LIMITED,0.9000HKD,6.4M,-64.57%,Other Restaurants & Bars
"THE BANK OF EAST ASIA, LIMITED",13.64HKD,4.6B,2.40%,Other Banks
THE CROSS-HARBOUR (HOLDINGS) LIMITED,8.000HKD,380M,-1.84%,Miscellaneous Educational Service Providers
THE HONG KONG AND CHINA GAS COMPANY LIMITED,7.170HKD,17.07B,2.28%,Natural Gas Distribution
"THE HONGKONG AND SHANGHAI HOTELS, LIMITED",5.870HKD,1.25B,-0.68%,Hotels & Motels
THE PEOPLE'S INSURANCE COMPANY (GROUP) OF CHINA LIMITED ,5.180HKD,41.63B,-23.26%,Property Insurance
"THE SINCERE COMPANY, LIMITED",0.2800HKD,46.94M,-13.85%,Retail - Department Stores
THE UNITED LABORATORIES INTERNATIONAL HOLDINGS LIMITED,8.800HKD,2.22B,-24.07%,Other Pharmaceuticals
THE WHARF (HOLDINGS) LIMITED,22.18HKD,8.65B,2.02%,Other Real Estate Development & Operations
THELLOY DEVELOPMENT GROUP LIMITED,0.2160HKD,22.05M,140.00%,Building Contractors
TI CLOUD INC.,3.010USD,66.6M,-33.55%,Other Software
TIAN AN CHINA INVESTMENTS COMPANY LIMITED,3.800HKD,711M,-17.39%,Other Real Estate Development & Operations
TIAN AN MEDICARE LIMITED,1.050HKD,145M,1.94%,"Hospitals, Clinics & Primary Care Services"
TIAN CHANG GROUP HOLDINGS LTD.,0.3500HKD,27.69M,-7.89%,Plastics
TIAN CHENG HOLDINGS LIMITED,0.0930HKD,5.13M,-8.82%,Building Contractors
TIAN GE INTERACTIVE HOLDINGS LIMITED,0.6400HKD,85.51M,-5.88%,Social Media & Networking
TIAN LUN GAS HOLDINGS LIMITED,2.770HKD,340M,-19.71%,Natural Gas Distribution
TIAN TECK LAND LIMITED,1.870HKD,113M,-8.33%,Other Real Estate Development & Operations
TIAN YUAN GROUP HOLDINGS LIMITED,0.4400HKD,33.68M,-15.38%,Petroleum Product Wholesale
TIANDA PHARMACEUTICALS LIMITED,0.0860HKD,23.59M,-33.33%,Other Pharmaceuticals
TIANDE CHEMICAL HOLDINGS LIMITED,1.210HKD,136M,-15.38%,Other Commodity Chemicals
TIANGONG INTERNATIONAL COMPANY LIMITED,3.420HKD,1.19B,11.04%,Other Steel
TIANJIN BINHAI TEDA LOGISTICS (GROUP) CORPORATION LIMITED,0.3500HKD,15.8M,-10.26%,Integrated Logistics Operators
"TIANJIN CONSTRUCTION DEVELOPMENT GROUP CO., LTD.",1.430HKD,47.25M,55.43%,Other Construction & Engineering
TIANJIN DEVELOPMENT HOLDINGS LIMITED,2.230HKD,305M,-7.85%,Other Multiline Utilities
TIANJIN JINRAN PUBLIC UTILITIES COMPANY LIMITED,0.1690HKD,39.66M,-5.59%,Natural Gas Pipeline
TIANJIN PORT DEVELOPMENT HOLDINGS LIMITED,0.7000HKD,550M,4.48%,Marine Cargo Handling Services
TIANJIN TEDA BIOMEDICAL ENGINEERING COMPANY LIMITED,0.1220HKD,33.22M,-60.00%,Fertilizer
"TIANJIN TIANBAO ENERGY CO., LTD.",0.6900HKD,14.08M,4.55%,Other Electric Utilities
"TIANJU DIHE (SUZHOU) DATA CO., LTD.",65.00HKD,416M,-.--%,Other IT Services & Consulting
TIANLI HOLDINGS GROUP LIMITED,6.030HKD,573M,1727.27%,Electronic Component
TIANLI INTERNATIONAL HOLDINGS LIMITED,1.420HKD,378M,-40.34%,Miscellaneous Educational Service Providers
TIANNENG POWER INTERNATIONAL LIMITED,5.880HKD,845M,-17.07%,Automotive Batteries
TIL ENVIRO LIMITED,0.5100HKD,65.07M,-10.53%,Sewage Treatment Facilities
TIME INTERCONNECT TECHNOLOGY LIMITED,19.22HKD,5.47B,12.99%,Electronic Component
TIME WATCH INVESTMENTS LIMITED,0.2900HKD,76.15M,-12.12%,Watches
TIMELESS RESOURCES HOLDINGS LIMITED,0.1930HKD,12.46M,-33.45%,Other Specialty Mining & Metals
TIMES CHINA HOLDINGS LIMITED,0.0380HKD,14.16M,-62.75%,Other Real Estate Development & Operations
TIMES NEIGHBORHOOD HOLDINGS LIMITED,0.5700HKD,71.44M,5.56%,Other Real Estate Services
TIMES UNIVERSAL GROUP HOLDINGS LIMITED,0.2040HKD,28.45M,451.35%,Hotels & Motels
TINGYI (CAYMAN ISLANDS) HOLDING CORP.,11.95HKD,8.6B,1.36%,Ready-Made Meals
TK GROUP (HOLDINGS) LIMITED,2.120HKD,225M,-16.54%,Industrial Moulds
TL NATURAL GAS HOLDINGS LIMITED,0.1880HKD,5.1M,-23.58%,Other Restaurants & Bars
TOM GROUP LIMITED,0.3850HKD,194M,-6.10%,Other Consumer Publishing
TOMO HOLDINGS LIMITED,0.2420HKD,23.62M,-12.00%,"Other Auto, Truck & Motorcycle Parts"
TOMSON GROUP LIMITED,2.110HKD,608M,-12.45%,Other Real Estate Development & Operations
TONG REN TANG TECHNOLOGIES CO. LTD.,3.520HKD,575M,-20.18%,Alternative Medicine
TONG TONG AI SOCIAL GROUP LIMITED,0.4700HKD,312M,136.18%,Factoring
TONGCHENG TRAVEL HOLDINGS LIMITED,14.16HKD,4.18B,-36.90%,Travel Agents
TONGDA GROUP HOLDINGS LIMITED,2.790HKD,69.31M,-28.28%,Other Electrical Components & Equipment
TONGDA HONG TAI HOLDINGS LIMITED,0.3800HKD,9.9M,1.33%,Tablet & Netbook Computers
TONGDAO LIEPIN GROUP,2.340HKD,151M,-41.06%,Online Job Portals
TONGGUAN GOLD GROUP LIMITED,2.150HKD,1.46B,-23.21%,Other Gold
TONKING NEW ENERGY GROUP HOLDINGS LIMITED,0.1540HKD,24.11M,-3.75%,Renewable Energy Services
TOP EDUCATION GROUP LTD,0.1080HKD,29.74M,17.39%,Universities
TOP EMINENT HEALTHCARE GROUP LIMITED,0.1070HKD,27.76M,-27.21%,Health Food Stores
TOP FORM INTERNATIONAL LIMITED,0.2050HKD,7.87M,-16.33%,Other Apparel & Accessories
TOP SPRING INTERNATIONAL HOLDINGS LIMITED,0.2850HKD,55.61M,-24.00%,Other Real Estate Development & Operations
TOP STANDARD CORPORATION,0.2000HKD,6.1M,14.29%,Commercial Food Services
TOPSPORTS INTERNATIONAL HOLDINGS LIMITED,2.800HKD,2.22B,-3.78%,Sports & Outdoors Retailers
TOUYUN BIOTECH GROUP LIMITED,0.1230HKD,44.04M,-51.76%,Other Non-Paper Containers & Packaging
TOWN HEALTH INTERNATIONAL MEDICAL GROUP LIMITED,0.2110HKD,182M,-15.60%,Other Healthcare Facilities & Services
TOWN RAY HOLDINGS LIMITED,1.600HKD,73.29M,-9.60%,Household Appliances
TOWNGAS SMART ENERGY COMPANY LIMITED,3.290HKD,1.54B,-14.77%,Natural Gas Distribution
TRADEGO FINTECH LIMITED,1.070HKD,96.19M,-25.69%,Financial Technology (Fintech) (NEC)
TRADELINK ELECTRONIC COMMERCE LIMITED,1.190HKD,121M,14.42%,Other IT Services & Consulting
TRANSCENTA HOLDING LIMITED,1.580HKD,86.01M,-25.47%,Other Pharmaceuticals
TRANSMIT ENTERTAINMENT LIMITED,0.0270HKD,8.94M,-.--%,Other Entertainment Production
TRANSPORT INTERNATIONAL HOLDINGS LIMITED,9.500HKD,649M,-10.38%,Commuting Services
TRANSTECH OPTELECOM SCIENCE HOLDINGS LIMITED,6.110HKD,233M,431.30%,Fiber Optic Cable Manufacturing
"TRANSTHERA SCIENCES (NANJING), INC.",35.02HKD,1.82B,-69.52%,Bio Therapeutic Drugs
TRAVEL EXPERT (ASIA) ENTERPRISES LIMITED,0.1960HKD,12.75M,8.89%,Travel Agents
TRAVELSKY TECHNOLOGY LIMITED,9.220HKD,3.44B,-10.31%,Other IT Services & Consulting
TRIGIANT GROUP LIMITED,4.050HKD,914M,912.50%,Fiber Optic Cable Manufacturing
TRIO INDUSTRIAL ELECTRONICS GROUP LIMITED,0.4000HKD,51.04M,64.61%,Electrical Component
TRISTATE HOLDINGS LIMITED,1.860HKD,64.9M,3.33%,Other Apparel & Accessories
TRUE PARTNER CAPITAL HOLDING LIMITED,0.3300HKD,25.69M,-17.50%,Other Investment Management & Fund Operators
TRULY INTERNATIONAL HOLDINGS LIMITED,0.9800HKD,369M,-9.26%,Display Screens
TS WONDERS HOLDING LIMITED,0.3350HKD,42.74M,11.67%,Snack Food & Non-Chocolate Confectionary
"TSAKER NEW ENERGY TECH CO., LIMITED",1.120HKD,138M,41.77%,Batteries & Uninterruptable Power Supplies
TSE SUI LUEN JEWELLERY (INTERNATIONAL) LIMITED,0.7000HKD,22.26M,-21.35%,Jewelry
TSIM SHA TSUI PROPERTIES LIMITED,19.35HKD,5.55B,-3.73%,Other Real Estate Development & Operations
TSIT WING INTERNATIONAL HOLDINGS LIMITED,0.4850HKD,44.6M,-13.39%,Other Food Processing
TSUI WAH HOLDINGS LIMITED,0.1420HKD,25.57M,-11.25%,Other Restaurants & Bars
TSUN YIP HOLDINGS LIMITED,0.3550HKD,3.39M,0.00%,Other Construction & Engineering
TU YI HOLDING COMPANY LIMITED,0.0830HKD,10.59M,-32.52%,Duty Free Shops
TUHU CAR INC.,13.40HKD,1.36B,-16.98%,"Other Auto Vehicles, Parts & Service Retailers"
TUNGTEX (HOLDINGS) COMPANY LIMITED,0.1970HKD,11.34M,1.55%,Other Apparel & Accessories
TWINTEK INVESTMENT HOLDINGS LIMITED,0.9500HKD,96.97M,28.38%,Other Construction Supplies & Fixtures
TYCOON GROUP HOLDINGS LIMITED,0.2600HKD,29.66M,-8.77%,Pharmaceuticals Wholesale
"TYK MEDICINES, INC",9.140CNY,449M,-30.28%,Bio Therapeutic Drugs
TYSAN HOLDINGS LIMITED,0.3250HKD,140M,1.56%,Building Contractors
UBA INVESTMENTS LIMITED,0.0410HKD,6.65M,0.00%,Other Holding Companies
UBOT HOLDING LIMITED,0.6000HKD,39.31M,272.67%,Other Holding Companies
UBTECH ROBOTICS CORP LTD,102.20HKD,6.55B,-19.08%,Advanced Electronic Equipment
"UISEE TECHNOLOGIES (BEIJING) CO., LTD.",74.05HKD,1.54B,-,Machine Learning & Artificial Intelligence (AI) Services
UJU HOLDING LIMITED,3.970HKD,299M,-5.48%,Other Advertising & Marketing
ULFERTS INTERNATIONAL LIMITED,0.1800HKD,18.37M,52.54%,Furniture Retailers
UMP HEALTHCARE HOLDINGS LIMITED,0.4750HKD,48.67M,1.06%,Other Healthcare Facilities & Services
UNI-BIO SCIENCE GROUP LIMITED,0.0890HKD,67.81M,-22.61%,Biopharmaceuticals
UNI-PRESIDENT CHINA HOLDINGS LTD,7.860HKD,4.33B,-3.32%,Other Non-Alcoholic Beverages
"UNISOUND AI TECHNOLOGY CO., LTD.",245.80HKD,2.29B,-39.22%,Machine Learning & Artificial Intelligence (AI) Services
UNITAS HOLDINGS LIMITED,0.0180HKD,6M,-5.26%,Deep Sea Freight
"UNITED COMPANY RUSAL, INTERNATIONAL",3.630HKD,7.04B,-25.15%,Primary Aluminum Production
UNITED ENERGY GROUP LIMITED,0.4600HKD,1.52B,4.55%,Other Oil & Gas Exploration and Production
UNITED STRENGTH POWER HOLDINGS LIMITED,1.260HKD,60.21M,-26.74%,Natural Gas Distribution
UNITY ENTERPRISE HOLDINGS LIMITED,0.2950HKD,6.37M,-39.18%,Building Contractors
UNITY GROUP HOLDINGS INTERNATIONAL LIMITED,0.3600HKD,158M,22.03%,Electric Equipment Wholesale
UNIVERSAL HEALTH INTERNATIONAL GROUP HOLDING LIMITED,0.4950HKD,6.98M,-70.36%,Other Drug Retailers
UNIVERSAL TECHNOLOGIES HOLDINGS LIMITED,0.0890HKD,62.6M,-15.24%,Water Supply & Irrigation Systems
UNIVERSE ENTERTAINMENT AND CULTURE GROUP COMPANY LIMITED,0.3450HKD,39.91M,-12.66%,"Movie, TV Production & Distribution"
UNIVERSE PRINTSHOP HOLDINGS LIMITED,1.890HKD,24.07M,334.48%,Other Commercial Printing Services
UNQ HOLDINGS LIMITED,2.510HKD,53.13M,-12.24%,E-commerce & Auction Services
UPBEST GROUP LIMITED,0.6500HKD,222M,-4.41%,Other Consumer Lending
"USAS BUILDING SYSTEM (SHANGHAI) CO., LTD.",4.040HKD,62.14M,-43.89%,Other Construction & Engineering
V & V TECHNOLOGY HOLDINGS LIMITED,0.4800HKD,8.9M,33.33%,Other Computer & Electronics Retailers
V.S. INTERNATIONAL GROUP LIMITED,0.0650HKD,23.05M,16.07%,Plastics
VALA INC.,0.5300HKD,110M,1.92%,Other Leisure & Recreation
VALUE CONVERGENCE HOLDINGS LIMITED,0.2800HKD,11.76M,-20.00%,Other Investment Banking & Brokerage Services
VALUE PARTNERS GROUP LIMITED,2.100HKD,489M,-13.22%,Other Investment Management & Fund Operators
VALUES CULTURAL INVESTMENT LIMITED,0.1900HKD,25.15M,100.00%,Other Entertainment Production
VANKE OVERSEAS INVESTMENT HOLDING COMPANY LIMITED,1.790HKD,88.96M,-0.56%,Other Real Estate Development & Operations
VANOV HOLDINGS COMPANY LIMITED,1.430HKD,83.32M,18.18%,Other Textiles & Leather Goods
VCREDIT HOLDINGS LIMITED,1.070HKD,66.29M,-57.20%,Financial Technology (Fintech) (NEC)
VEDAN INTERNATIONAL (HOLDINGS) LIMITED,0.7300HKD,142M,8.96%,Food Ingredients
