Stk name,Mkt Price,Mkt Cap,Price chg compared to 1 Jan 2026,Sector
NANJING SINOLIFE UNITED COMPANY LIMITED,0.1950HKD,23.55M,-48.68%,Health Food Stores
NANSHAN ALUMINIUM INTERNATIONAL HOLDINGS LIMITED,34.68HKD,2.86B,-28.41%,Other Aluminum
NANYANG HOLDINGS LIMITED,28.70HKD,124M,-1.03%,Other Holding Companies
NATIONAL ELECTRONICS HOLDINGS LIMITED,0.3900HKD,45.43M,11.43%,Watches
NATIONAL UNITED RESOURCES HOLDINGS LIMITED,0.8400HKD,62.61M,40.00%,Passenger Car Rental
NATURAL BEAUTY BIO-TECHNOLOGY LIMITED,0.4600HKD,118M,-6.12%,Cosmetics & Perfumes
NATURAL FOOD INTERNATIONAL HOLDING LIMITED,1.470HKD,416M,34.86%,Breakfast Cereal Manufacturing
NAYUKI HOLDINGS LIMITED,0.6100HKD,141M,-42.45%,Other Restaurants & Bars
NEO-NEON HOLDINGS LIMITED,0.3300HKD,88.07M,-17.50%,Lighting Fixtures
NET-A-GO TECHNOLOGY COMPANY LIMITED,1.280HKD,134M,14.29%,Other Environmental Services & Equipment
NETDRAGON WEBSOFT HOLDINGS LIMITED,8.590HKD,582M,-17.80%,Internet Gaming
NETEASE CLOUD MUSIC INC.,119.60HKD,3.27B,-35.70%,"Music, Music Video Production & Distribution"
"NETEASE, INC.",191.20HKD,79.58B,-10.90%,Internet Gaming
NETJOY HOLDINGS LIMITED,0.4550HKD,44.41M,-.--%,Other Advertising & Marketing
NEUSOFT XIKANG HOLDINGS INC.,1.000USD,107M,11.11%,Other Healthcare Facilities & Services
NEUTECH GROUP LIMITED,2.220HKD,184M,-12.25%,Universities
NEW AMANTE GROUP LIMITED,0.3350HKD,5.23M,-21.18%,"Other Hotels, Motels & Cruise Lines"
NEW CENTURY GROUP HONG KONG LIMITED,0.0310HKD,22.87M,-8.82%,Consumer Leasing
NEW CENTURY HEALTHCARE HOLDING CO. LIMITED,0.5600HKD,34.54M,-15.15%,Other Drug Retailers
NEW CITY DEVELOPMENT GROUP LIMITED,0.5300HKD,14.49M,21.84%,Other Real Estate Development & Operations
NEW CONCEPTS HOLDINGS LIMITED,0.7800HKD,22.83M,-24.27%,"Waste Management, Disposal & Recycling Services"
NEW FOCUS AUTO TECH HOLDINGS LIMITED,0.0460HKD,101M,2.22%,"Other Auto, Truck & Motorcycle Parts"
NEW GONOW RECREATIONAL VEHICLES INC.,2.840HKD,366M,198.95%,Leisure Products Wholesale
NEW HOPE SERVICE HOLDINGS LIMITED,1.950HKD,205M,0.52%,Other Real Estate Services
NEW MEDIA LAB LIMITED,0.4500HKD,34.46M,20.00%,Digital Media Agencies
NEW PROVENANCE EVERLASTING HOLDINGS LIMITED,0.0100HKD,26.91M,0.00%,Metal Merchant Wholesale
NEW RAY MEDICINE INTERNATIONAL HOLDING LIMITED,0.2110HKD,5.4M,-23.27%,Other Drug Retailers
NEW SILKROAD HOLDING GROUP LIMITED,0.2850HKD,117M,-19.72%,Other Real Estate Development & Operations
NEW SPARKLE ROLL INTERNATIONAL GROUP LIMITED,0.4000HKD,34.48M,-21.57%,New Car Dealers
NEW TIMES CORPORATION LIMITED,0.0350HKD,39.05M,-10.26%,Integrated Mining
NEW UNIVERSE ENVIRONMENTAL GROUP LIMITED,0.0680HKD,26.35M,6.25%,"Waste Management, Disposal & Recycling Services"
NEW WORLD DEPARTMENT STORE CHINA LIMITED,0.2900HKD,64.57M,5.45%,Retail - Department Stores
NEW WORLD DEVELOPMENT COMPANY LIMITED,7.930HKD,2.65B,9.08%,Other Real Estate Development & Operations
NEWAY GROUP HOLDINGS LIMITED,0.1450HKD,4.69M,0.69%,Other Commercial Printing Services
